# if a unit starts with the text in the left column normalized, it is normalized to the right column	(must be TAB separated!)
kilometer	km
meter	m
centimeter	cm
millimeter	mm
micrometer	Î¼m
mile	mi
yard	yd
foot	ft
inch	in
square kilometer	km2
square meter	m2
acre	acre
hectare	ha
square foot	ft2
square feet	ft2
square inch	in2
square yard	yd2
kilogram	kg
gram	g
milligram	mg
grain	gr
ton	t
carat	carat
pound	lb
ounce	oz
pennyweight	pw
year	year
nanosecond	ns
day	d
month	month
minute	min
mins	min
second	s
hour	h
hs	h
cubic meter	m3
liter	l
milliliter	ml
teaspoon	teaspoon
tablespoon	tablespoon
pint	pt
liq pt	pt
dry pt	pt
quart	qt
dry qt	qt
fl oz	oz
gallon	gl
cup	cup
barrel	bbl
acre-foot	acre foot
acre-feet	acre foot
cubic foot	ft3
cubic feet	ft3
cubic inch	in3
cubic mile	mi3
cubic yard	yd3
